Rank,Name,W2001,Citizenship,C2001,Age01,I01,,Rank,Name,W2002,Citizenship,C2002,Age02,I02,,Rank,Name,W2003,Citizenship,C2003,Age03,I03,,Rank,Name,W2004,Citizenship,C2004,Age04,I04,,Rank,Name,W2005,Citizenship,C2005,Age05,I05,,Rank,Name,W2006,Citizenship,C2006,Age06,I06,,Rank,Name,W2007,Citizenship,C2007,Age07,I07,,Rank,Name,W2008,Citizenship,C2008,Age08,I08,,Rank,Name,W2009,Citizenship,C2009,Age09,I09,,Rank,Name,W2010,Citizenship,C2010,Age10,I10,G10,,Rank,Name,W2011,Citizenship,C2011,Age11,I11,G11,,Rank,Name,W2012,Citizenship,C2012,Age12,I12,G12,,Rank,Name,W2013,Citizenship,C2013,Age13,I13,G13,,Rank,Name,W2014,Citizenship,C2014,Age14,I14,G14,,Rank,Name,W2015,Citizenship,C2015,Age15,I15,G15,,Rank,Name,W2016,Citizenship,C2016,Age16,I16,G16,,Rank,Name,W2017,Citizenship,C2017,Age17,I17,G17,,Rank,Name,W2018,Citizenship,C2018,Age18,I18,G18,,Rank,Name,W2019,Citizenship,C2019,Age19,I19,G19,,Rank,Name,W2020,Citizenship,C2020,Age20,I20,G20,,Rank,Name,W2021,Citizenship,C2021,Age21,I21,G21,,Rank,Name,W2022,Citizenship,C2022,Age22,I22,G22,,Rank,full_name,W2023,Citizenship,C2023,Age23,I23,G23
10,"Walton, Helen R.",185,United State,North America,52,Consumer,,11,"Alsaud, Prince Alwaleed Bin Talal",200,Saudi Arabia,Asia,45,Financials,,7,S Robson Walton,165,United State,North America,59,Consumer,,11,Liliane Bettencourt,188,France,Europe,81,Consumer,,11,Jim Walton,182,United State,North America,57,Consumer,,11,Roman Abramovich,182,Russia,Europe,39,Energy,,11,Lawrence Ellison,215,United State,North America,62,Information Technology,,11,Li Ka-shing,265,China,Asia,79,Real Estate,,11,Jim Walton,178,United State,North America,61,Consumer,,11,Ingvar Kamprad & family,230,Sweden,Europe,83,Consumer,Male,,11,Li Ka-shing,260,China,Asia,82,Real Estate,Male,,11,Christy Walton & family,253,United State,North America,57,Consumer,Female,,11,Christy Walton & family,282,United State,North America,58,Consumer,Female,,11,Liliane Bettencourt & family,345,France,Europe,91,Consumer,Female,,11,Alice Walton,394,United State,North America,65,Consumer,Female,,11,Liliane Bettencourt,361,France,Europe,93,Consumer,Female,,11,Bernard Arnault,415,France,Europe,68,Consumer,Male,,11,Michael Bloomberg,500,United State,North America,76,Communication Services,Male,,11,Charles Koch,505,United State,North America,83,Financials,Male,,11,Steve Ballmer,527,United State,North America,64,Information Technology,Male,,11,Amancio Ortega,770,Spain,Europe,85,Consumer,Male,,11,Gautam Adani & family,900,India,Asia,59,Financials,Male,,11,Francoise Bettencourt Meyers & family,805,France,Europe,69,Consumer,Female
12,"Quandt, Johanna & family",178,Germany,Europe,73,Consumer,,12,"Quandt, Johanna & family",184,Germany,Europe,74,Consumer,,12,Liliane Bettencourt,145,France,Europe,80,Consumer,,12,Lawrence Ellison,187,United State,North America,59,Information Technology,,11,John Walton,182,United State,North America,59,Consumer,,12,Michael Dell,171,United State,North America,41,Information Technology,,12,Liliane Bettencourt,207,France,Europe,84,Consumer,,12,Sheldon Adelson,260,United State,North America,74,Real Estate,,12,Alice Walton,176,United State,North America,59,Consumer,,12,Christy Walton & family,225,United State,North America,55,Consumer,Female,,12,Karl Albrecht,255,Germany,Europe,91,Consumer,Male,,12,Charles Koch,250,United State,North America,76,Energy,Male,,12,Stefan Persson,280,Sweden,Europe,65,Consumer,Male,,12,Stefan Persson,344,Sweden,Europe,66,Consumer,Male,,12,S. Robson Walton,391,United State,North America,71,Consumer,Male,,12,Larry Page,352,United State,North America,42,Information Technology,Male,,12,Larry Page,407,United State,North America,43,Information Technology,Male,,12,Larry Page,488,United State,North America,44,Information Technology,Male,,11,David Koch,505,United State,North America,78,Financials,Male,,12,Carlos Slim Helu & family,521,Mexico,North America,80,Information Technology,Male,,12,Francoise Bettencourt Meyers & family,736,France,Europe,67,Consumer,Female,,12,Michael Bloomberg,820,United State,North America,80,Communication Services,Male,,12,Larry Page,792,United State,North America,50,Information Technology,Male
13,"Ballmer, Steven Anthony",166,United State,North America,44,Information Technology,,13,"Bettencourt, Liliane",149,France,Europe,78,Communication Services,,13,Kenneth Thomson & family,140,Canada,North America,79,Communication Services,,13,Ingvar Kamprad,185,Sweden,Europe,77,Consumer,,13,Alice Walton,180,United State,North America,56,Consumer,,13,Karl Albrecht,170,Germany,Europe,86,Consumer,,13,Prince Alwaleed Bin Talal Alsaud,203,Saudi Arabia,Asia,50,Financials,,13,Bernard Arnault,255,France,Europe,59,Consumer,,12,Christy Walton & family,176,United State,North America,54,Consumer,,13,Stefan Persson,224,Sweden,Europe,62,Consumer,Male,,13,Stefan Persson,245,Sweden,Europe,63,Consumer,Male,,12,David Koch,250,United State,North America,71,Energy,Male,,13,Michael Bloomberg,270,United State,North America,71,Communication Services,Male,,13,Alice Walton,343,United State,North America,64,Consumer,Female,,13,Bernard Arnault,372,France,Europe,66,Consumer,Male,,13,Sergey Brin,344,United State,North America,42,Information Technology,Male,,13,Sergey Brin,398,United State,North America,43,Information Technology,Male,,13,Sergey Brin,475,United State,North America,44,Information Technology,Male,,13,Mukesh Ambani,500,India,Asia,61,Energy,Male,,13,Larry Page,509,United State,North America,47,Information Technology,Male,,13,Zhong Shanshan,689,China,Asia,66,Consumer,Male,,13,Carlos Slim Helu & family,812,Mexico,North America,82,Information Technology,Male,,13,Amancio Ortega,773,Spain,Europe,87,Consumer,Male
14,"Thomson, Kenneth & family",164,Canada,North America,77,Communication Services,,13,"Thomson, Kenneth & family",149,Canada,North America,79,Consumer,,14,Ingvar Kamprad,130,Sweden,Europe,76,Consumer,,14,Theo Albrecht,181,Germany,Europe,81,Consumer,,13,Helen Walton,180,United State,North America,85,Consumer,,14,Sheldon Adelson,161,United State,North America,72,Real Estate,,14,MUnited Kingdomesh Ambani,201,India,Asia,49,Energy,,14,Lawrence Ellison,250,United State,North America,63,Information Technology,,12,S Robson Walton,176,United State,North America,65,Consumer,,14,Li Ka-shing,210,China,Asia,81,Real Estate,Male,,14,Vladimir Lisin,240,Russia,Europe,54,Energy,Male,,14,Sheldon Adelson,249,United State,North America,78,Real Estate,Male,,14,Jim Walton,267,United State,North America,65,Consumer,Male,,14,S. Robson Walton,342,United State,North America,70,Consumer,Male,,14,Michael Bloomberg,355,United State,North America,73,Communication Services,Male,,14,Bernard Arnault,340,France,Europe,66,Consumer,Male,,14,Liliane Bettencourt,395,France,Europe,94,Consumer,Female,,14,Jim Walton,464,United State,North America,69,Consumer,Male,,14,Sergey Brin,498,United State,North America,45,Information Technology,Male,,14,Sergey Brin,491,United State,North America,46,Information Technology,Male,,14,Steve Ballmer,687,United State,North America,65,Information Technology,Male,,14,Francoise Bettencourt Meyers & family,748,France,Europe,68,Consumer,Female,,14,Sergey Brin,760,United State,North America,49,Information Technology,Male
15,"Bettencourt, Liliane",156,France,Europe,78,Consumer,,15,"Ballmer, Steven A",148,United State,North America,45,Information Technology,,15,Birgit Rausing & family,129,Sweden,Europe,-,Consumer,,15,Kenneth Thomson & family,172,Canada,North America,80,Communication Services,,15,Kenneth Thomson & family,179,Canada,North America,81,Communication Services,,15,Liliane Bettencourt,160,France,Europe,83,Consumer,,15,Karl Albrecht,200,Germany,Europe,87,Consumer,,15,Roman Abramovich,235,Russia,Europe,41,Energy,,15,Bernard Arnault,165,France,Europe,60,Consumer,,15,Jim Walton,207,United State,North America,62,Consumer,Male,,15,Liliane Bettencourt,235,France,Europe,88,Consumer,Female,,15,Liliane Bettencourt,240,France,Europe,89,Consumer,Female,,15,Sheldon Adelson,265,United State,North America,79,Real Estate,Male,,15,Bernard Arnault & family,335,France,Europe,64,Consumer,Male,,15,Jeff Bezos,348,United State,North America,51,Consumer,Male,,15,Jim Walton,336,United State,North America,67,Consumer,Male,,15,S. Robson Walton,341,United State,North America,72,Consumer,Male,,15,S. Robson Walton,462,United State,North America,73,Consumer,Male,,15,Francoise Bettencourt Meyers & family,493,France,Europe,65,Consumer,Female,,15,Francoise Bettencourt Meyers & family,489,France,Europe,66,Consumer,Female,,15,Ma Huateng,658,China,Asia,49,Information Technology,Male,,15,Mark Zuckerberg,673,United State,North America,37,Information Technology,Male,,15,Zhong Shanshan,680,China,Asia,68,Consumer,Male
16,"Anschutz, Philip F.",153,United State,North America,61,Financials,,16,"Kamprad, Ingvar",134,Sweden,Europe,75,Consumer,,16,Steven A Ballmer,111,United State,North America,46,Information Technology,,16,Mikhail Khodorkovsky,150,Russia,Europe,40,Energy,,16,Liliane Bettencourt,172,France,Europe,82,Consumer,,15,Lawrence Ellison,160,United State,North America,61,Information Technology,,16,Roman Abramovich,187,Russia,Europe,40,Energy,,16,Theo Albrecht,230,Germany,Europe,85,Consumer,,16,Li Ka-shing,162,China,Asia,80,Real Estate,,16,Alice Walton,206,United State,North America,60,Consumer,Female,,16,Sheldon Adelson,233,United State,North America,77,Real Estate,Male,,16,Jim Walton,237,United State,North America,64,Consumer,Male,,16,Alice Walton,263,United State,North America,63,Consumer,Female,,16,Michael Bloomberg,330,United State,North America,72,Communication Services,Male,,16,Mark Zuckerberg,334,United State,North America,30,Information Technology,Male,,16,Alice Walton,323,United State,North America,66,Consumer,Female,,16,Jim Walton,340,United State,North America,68,Consumer,Male,,16,Alice Walton,460,United State,North America,68,Consumer,Female,,16,Jim Walton,446,United State,North America,70,Consumer,Male,,16,Michael Bloomberg,480,United State,North America,78,Communication Services,Male,,16,Carlos Slim Helu & family,628,Mexico,North America,81,Information Technology,Male,,16,Jim Walton,662,United State,North America,73,Consumer,Male,,16,Mark Zuckerberg,644,United State,North America,38,Information Technology,Male
17,"Kamprad, Ingvar",130,Sweden,Europe,74,Consumer,,17,"Slim Helu, Carlos",115,Mexico,North America,62,Communication Services,,17,John W Kluge,105,United State,North America,88,Communication Services,,17,Carlos Slim Helu,139,Mexico,North America,64,Communication Services,,17,Bernard Arnault,170,France,Europe,56,Consumer,,17,Christy Walton,159,United State,North America,51,Consumer,,17,Stefan Persson,184,Sweden,Europe,59,Consumer,,17,Liliane Bettencourt,229,France,Europe,85,Consumer,,17,Michael Bloomberg,160,United State,North America,67,Communication Services,,17,Liliane Bettencourt,200,France,Europe,87,Consumer,Female,,17,David Thomson & family,230,Canada,North America,53,Communication Services,Male,,17,Alice Walton,233,United State,North America,62,Consumer,Female,,17,S. Robson Walton,261,United State,North America,69,Consumer,Male,,17,Larry Page,323,United State,North America,40,Information Technology,Male,,17,Li Ka-shing,333,China,Asia,86,Financials,Male,,17,S. Robson Walton,319,United State,North America,71,Consumer,Male,,17,Alice Walton,338,United State,North America,67,Consumer,Female,,17,Ma Huateng,453,China,Asia,46,Information Technology,Male,,17,Alice Walton,444,United State,North America,69,Consumer,Female,,17,Jack Ma,388,China,Asia,55,Information Technology,Male,,17,Alice Walton,618,United State,North America,71,Consumer,Female,,17,Zhong Shanshan,657,China,Asia,67,Consumer,Male,,17,Charles Koch,590,United State,North America,87,Financials,Male
18,LiKa-shing,126,China,Asia,72,Real Estate,,18,"Dell, Michael S",111,United State,North America,37,Information Technology,,18,Barbara Cox Anthony,103,United State,North America,79,Consumer,,18,Michael Dell,130,United State,North America,39,Information Technology,,18,Michael Dell,160,United State,North America,40,Information Technology,,17,Jim Walton,159,United State,North America,58,Consumer,,18,Anil Ambani,182,India,Asia,47,Communication Services,,18,Alexei Mordashov,212,Russia,Europe,42,Energy,,18,Stefan Persson,145,Sweden,Europe,61,Consumer,,18,S. Robson Walton,198,United State,North America,66,Consumer,Male,,18,Charles Koch,220,United State,North America,75,Energy,Male,,18,S. Robson Walton,231,United State,North America,68,Consumer,Male,,18,Karl Albrecht,260,Germany,Europe,93,Consumer,Male,,18,Jeff Bezos,320,United State,North America,50,Consumer,Male,,18,Sheldon Adelson,314,United State,North America,81,Real Estate,Male,,18,Wang Jianlin,287,China,Asia,61,Real Estate,Male,,18,Wang Jianlin,313,China,Asia,62,Real Estate,Male,,18,Francoise Bettencourt Meyers,422,France,Europe,64,Consumer,Female,,18,Rob Walton,443,United State,North America,74,Consumer,Male,,18,Charles Koch,382,United State,North America,84,Financials,Male,,18,Jim Walton,602,United State,North America,72,Consumer,Male,,18,Alice Walton,653,United State,North America,72,Consumer,Female,,17,Julia Koch & family,590,United State,North America,60,Financials,Female
18,"Redstone, Sumner M.",126,United State,North America,77,Communication Services,,19,"Rausing, Kirsten & family",107,Sweden,Europe,-,Consumer,,18,Anne Cox Chambers,103,United State,North America,83,Communication Services,,19,Steven Ballmer,124,United State,North America,47,Real Estate,,19,Sheldon Adelson,156,United State,North America,71,Real Estate,,19,S Robson Walton,158,United State,North America,62,Consumer,,19,Paul Allen,180,United State,North America,54,Communication Services,,19,Prince Alwaleed Bin Talal Alsaud,210,Saudi Arabia,Asia,51,Financials,,19,Charles Koch,140,United State,North America,73,Energy,,19,Prince Alwaleed Bin Talal Alsaud,194,Saudi Arabia,Asia,55,Financials,Male,,18,David Koch,220,United State,North America,70,Energy,Male,,19,MUnited Kingdomesh Ambani,223,India,Asia,54,Energy,Male,,19,Jeff Bezos,252,United State,North America,49,Consumer,Male,,19,Sergey Brin,318,United State,North America,40,Information Technology,Male,,19,Larry Page,297,United State,North America,41,Information Technology,Male,,19,Jorge Paulo Lemann,278,Brazil,South America,76,Consumer,Male,,19,Li Ka-shing,312,China,Asia,88,Financials,Male,,19,MUnited Kingdomesh Ambani,401,India,Asia,60,Energy,Male,,19,Steve Ballmer,412,United State,North America,62,Information Technology,Male,,18,Julia Koch & family,382,United State,North America,57,Financials,Female,,19,Rob Walton,595,United State,North America,76,Consumer,Male,,19,Rob Walton,650,United State,North America,77,Consumer,Male,,19,Jim Walton,588,United State,North America,74,Consumer,Male
20,"Kirch, Leo",120,Germany,Europe,-,Communication Services,,20,"Kluge, John W",105,United State,North America,87,Communication Services,,18,Amancio Ortega,103,Spain,Europe,67,Communication Services,,19,Li Ka-shing,124,China,Asia,75,Information Technology,,20,Theo Albrecht,155,Germany,Europe,83,Consumer,,20,Alice Walton,157,United State,North America,56,Consumer,,20,Theo Albrecht,175,Germany,Europe,84,Information Technology,,20,Mikhail Fridman,208,Russia,Europe,43,Energy,,19,David Koch,140,United State,North America,68,Energy,,20,David Thomson & family,190,Canada,North America,52,Communication Services,Male,,20,Jim Walton,213,United State,North America,63,Consumer,Male,,20,Michael Bloomberg,220,United State,North America,70,Communication Services,Male,,20,Larry Page,230,United State,North America,39,Information Technology,Male,,20,Li Ka-shing,310,China,Asia,85,Financials,Male,,20,Sergey Brin,292,United State,North America,41,Information Technology,Male,,20,Li Ka-shing,271,China,Asia,87,Financials,Male,,20,Sheldon Adelson,304,United State,North America,83,Consumer,Male,,20,Jack Ma,390,China,Asia,53,Information Technology,Male,,20,Ma Huateng,388,China,Asia,47,Information Technology,Male,,20,Ma Huateng,381,China,Asia,48,Information Technology,Male,,20,Michael Bloomberg,590,United State,North America,79,Communication Services,Male,,19,Changpeng Zhao,650,Canada,North America,46,Financials,Male,,20,Rob Walton,576,United State,North America,78,Consumer,Male
21,"Anthony, Barbara Cox",117,United State,North America,81,Communication Services,,21,"Anthony, Barbara Cox",101,United State,North America,78,Communication Services,,21,Forrest E Mars Jr,100,United State,North America,71,Consumer,,21,Bernard Arnault,122,France,Europe,55,Consumer,,21,Roman Abramovich,133,Russia,Europe,38,Energy,,21,Helen Walton,156,United State,North America,86,Consumer,,21,Azim Premji,171,India,Asia,61,Consumer,,21,Vladimir Lisin,203,Russia,Europe,51,Energy,,21,Liliane Bettencourt,134,France,Europe,86,Consumer,,21,Michael Otto & family,187,Germany,Europe,66,Consumer,Male,,21,Alice Walton,212,United State,North America,61,Consumer,Female,,21,Lakshmi Mittal,207,India,Asia,61,Energy,Male,,21,Sergey Brin,228,United State,North America,39,Information Technology,Male,,21,Mark Zuckerberg,285,United State,North America,29,Information Technology,Male,,21,Georg Schaeffler,269,Germany,Europe,50,Industrials,Male,,21,Beate Heister & Karl Albrecht Jr.,259,Germany,Europe,-,Consumer,,,21,Steve Ballmer,300,United State,North America,61,Information Technology,Male,,21,Sheldon Adelson,385,United State,North America,84,Consumer,Male,,21,Jack Ma,373,China,Asia,54,Information Technology,Male,,21,MUnited Kingdomesh Ambani,368,India,Asia,62,Energy,Male,,21,Colin Zheng Huang,553,China,Asia,41,Information Technology,Male,,21,Charles Koch,600,United State,North America,86,Financials,Male,,21,Alice Walton,567,United State,North America,73,Consumer,Female
21,"Chambers, Anne Cox",117,United State,North America,77,Communication Services,,21,"Chambers, Anne Cox",101,United State,North America,82,Communication Services,,21,Jacqueline Mars,100,United State,North America,64,Consumer,,22,"Walter, Thomas & Raymond Kwok",114,China,Asia,-,Real Estate,,22,Li Ka-shing,130,China,Asia,76,Real Estate,,22,Theo Albrecht,152,Germany,Europe,83,Consumer,,22,Lee Shau Kee,170,China,Asia,79,Information Technology,,22,Amancio Ortega,202,Spain,Europe,72,Consumer,,22,Prince Alwaleed Bin Talal Alsaud,133,Saudi Arabia,Asia,54,Financials,,22,Lee Shau Kee,185,China,Asia,82,Real Estate,Male,,22,S. Robson Walton,210,United State,North America,67,Consumer,Male,,22,George Soros,200,United State,North America,81,Financials,Male,,22,MUnited Kingdomesh Ambani,215,India,Asia,55,Energy,Male,,22,Michele Ferrero & family,265,Italy,Europe,88,Consumer,Male,,22,"Forrest Mars, Jr.",266,United State,North America,83,Consumer,Male,,22,Sheldon Adelson,252,United State,North America,82,Consumer,Male,,22,Jorge Paulo Lemann,292,Brazil,South America,77,Consumer,Male,,22,Steve Ballmer,384,United State,North America,61,Information Technology,Male,,22,Hui Ka Yan,362,China,Asia,60,Real Estate,Male,,22,MacKenzie Bezos,360,United State,North America,50,Information Technology,Female,,22,MacKenzie Scott,530,United State,North America,50,Information Technology,Female,,21,Julia Koch & family,600,United State,North America,59,Financials,Female,,22,David Thomson & family,544,Canada,North America,65,Communication Services,Male
23,"Kwok brothers, Walter, Thomas, Raymond",115,China,Asia,-,Real Estate,,23,LiKa-shing,100,China,Asia,73,Real Estate,,21,John F Mars,100,United State,North America,66,Consumer,,23,Barbara Cox Anthony,112,United State,North America,80,Communication Services,,23,Amancio Ortega,126,Spain,Europe,69,Consumer,,23,Amancio Ortega,148,Spain,Europe,70,Consumer,,23,Jim Walton,168,United State,North America,59,Real Estate,,23,"Raymond, Thomas & Walter Kwok",199,China,Asia,-,Real Estate,,23,Michael Otto & family,132,Germany,Europe,65,Consumer,,23,Michael Bloomberg,180,United State,North America,68,Communication Services,Male,,23,Kwok Thomas & Raymond & family,200,China,Asia,-,Real Estate,Male,,23,Michele Ferrero & family,190,Italy,Europe,85,Consumer,Male,,23,Michele Ferrero & family,204,Italy,Europe,87,Consumer,Male,,23,Karl Albrecht,250,Germany,Europe,94,Consumer,Male,,22,Jacqueline Mars,266,United State,North America,75,Consumer,Female,,23,George Soros,249,United State,North America,85,Financials,Male,,23,Jack Ma,283,China,Asia,52,Information Technology,Male,,23,Li Ka-shing,349,China,Asia,89,Financials,Male,,23,Beate Heister & Karl Albrecht Jr.,361,Germany,Europe,-,Consumer,,,23,Beate Heister & Karl Albrecht Jr.,333,Germany,Europe,-,Consumer,,,23,Daniel Gilbert,519,United State,North America,59,Financials,Male,,23,Amancio Ortega,596,Spain,Europe,86,Consumer,Male,,23,Michael Dell,501,United State,North America,58,Information Technology,Male
24,"Kluge, John Werner",109,United State,North America,86,Communication Services,,24,"Kwok, Walter, Thomas & Raymond",92,China,Asia,-,Real Estate,,24,Michael Dell,98,United State,North America,38,Information Technology,,23,Anne Cox Chambers,112,United State,North America,84,Communication Services,,24,Steven Ballmer,121,United State,North America,49,Information Technology,,24,Steven Ballmer,136,United State,North America,50,Information Technology,,24,Christy Walton & family,167,United State,North America,52,Consumer,,24,Mikhail Prokhorov,195,Russia,Europe,42,Financials,,24,David Thomson & family,130,Canada,North America,51,Communication Services,,24,Sergey Brin,175,United State,North America,36,Information Technology,Male,,24,Larry Page,198,United State,North America,37,Information Technology,Male,,24,Sergey Brin,187,United State,North America,38,Information Technology,Male,,24,Lee Shau Kee,203,China,Asia,85,Communication Services,Male,,23,Aliko Dangote,250,Nigeria,Africa,56,Industrials,Male,,22,John Mars,266,United State,North America,78,Consumer,Male,,24,Phil Knight,244,United State,North America,78,Consumer,Male,,24,Beate Heister & Karl Albrecht Jr.,272,Germany,Europe,-,Consumer,,,24,Hui Ka Yan,303,China,Asia,59,Real Estate,Male,,24,Sheldon Adelson,351,United State,North America,85,Consumer,Male,,24,David Thomson & family,316,Canada,North America,62,Communication Services,Male,,24,Gautam Adani & family,505,India,Asia,58,Financials,Male,,24,Michael Dell,551,United State,North America,57,Information Technology,Male,,24,Gautam Adani,472,India,Asia,60,Financials,Male
25,"Slim Hel, Carlos",108,Mexico,North America,61,Communication Services,,25,"Ortega, Amancio",91,Spain,Europe,66,Consumer,,25,Abigail Johnson,82,United State,North America,41,Financials,,25,Roman Abramovich,106,Russia,Europe,37,Energy,,25,Silvio Berlusconi,120,Italy,Europe,68,Communication Services,,25,Azim Premji,133,India,Asia,60,Information Technology,,24,S Robson Walton,167,United State,North America,63,Consumer,,25,Vladimir Potanin,193,Russia,Europe,47,Materials,,25,Michael Dell,123,United State,North America,44,Information Technology,,24,Charles Koch,175,United State,North America,74,Energy,Male,,24,Sergey Brin,198,United State,North America,37,Information Technology,Male,,24,Larry Page,187,United State,North America,39,Information Technology,Male,,24,David Thomson & family,203,Canada,North America,55,Real Estate,Male,,25,Carl Icahn,245,United State,North America,78,Financials,Male,,25,David Thomson,255,Canada,North America,57,Communication Services,Male,,25,David Thomson,238,Canada,North America,58,Communication Services,Male,,24,David Thomson,272,Canada,North America,59,Communication Services,Male,,24,Lee Shau Kee,303,China,Asia,90,Real Estate,Male,,25,Michael Dell,343,United State,North America,54,Information Technology,Male,,25,Phil Knight & family,295,United State,North America,82,Consumer,Male,,25,Phil Knight & family,499,United State,North America,83,Consumer,Male,,25,Zhang Yiming,500,China,Asia,38,Communication Services,Male,,25,Phil Knight & family,451,United State,North America,85,Consumer,Male
26,"Arnault, Bernard",107,France,Europe,52,Consumer,,26,"Mars, Forrest E Jr",90,United State,North America,65,Consumer,,26,Mikhail B Khodorkovsky,80,Russia,Europe,39,Energy,,26,John Kluge,105,United State,North America,89,Communication Services,,25,Abigail Johnson,120,United State,North America,43,Financials,,26,Sergey Brin,129,United State,North America,32,Information Technology,,26,Sergey Brin,166,United State,North America,33,Consumer,,26,Christy Walton & family,192,United State,North America,53,Consumer,,26,Donald Bren,120,United State,North America,76,Real Estate,,24,David Koch,175,United State,North America,69,Energy,Male,,26,Prince Alwaleed Bin Talal Alsaud,196,Saudi Arabia,Asia,56,Financials,Male,,26,Jeff Bezos,184,United State,North America,48,Consumer,Male,,26,Prince Alwaleed Bin Talal Alsaud,200,Saudi Arabia,Asia,58,Real Estate,Male,,26,George Soros,230,United State,North America,83,Financials,Male,,26,Jorge Paulo Lemann,250,Brazil,South America,75,Consumer,Male,,26,Steve Ballmer,235,United State,North America,59,Information Technology,Male,,26,Jacqueline Mars,270,United State,North America,77,Consumer,Female,,26,Wang Jianlin,300,China,Asia,63,Real Estate,Male,,26,Phil Knight & family,334,United State,North America,81,Consumer,Male,,26,Lee Shau Kee,281,China,Asia,92,Real Estate,Male,,26,Jack Ma,484,China,Asia,56,Information Technology,Male,,26,David Thomson & family,492,Canada,North America,64,Communication Services,Male,,26,Zhang Yiming,450,China,Asia,39,Information Technology,Male
27,"Bertarelli, Ernesto & family",105,Switzerland,Europe,35,HealthCare,,26,"Mars, Jacqueline Badger",90,United State,North America,-,Consumer,,26,Sumner M Redstone,80,United State,North America,79,Communication Services,,27,Forrest Mars Jr,104,United State,North America,72,Consumer,,27,Barbara Cox Anthony,117,United State,North America,81,Communication Services,,27,Larry Page,128,United State,North America,33,Information Technology,,26,Larry Page,166,United State,North America,34,Consumer,,26,Jim Walton,192,United State,North America,60,Consumer,,26,Sergey Brin,120,United State,North America,35,Information Technology,,24,Larry Page,175,United State,North America,37,Information Technology,Male,,27,Iris Fontbona & family,192,Chile,South America,-,Materials,Female,,27,Thomas & Raymond Kwok & family,183,China,Asia,-,Real Estate,Male,,26,Carl Icahn,200,United State,North America,77,Financials,Male,,27,David Thomson & family,226,Canada,North America,56,Communication Services,Male,,27,Lee Shau Kee,248,China,Asia,87,Real Estate,Male,,27,"Forrest Mars, Jr.",234,United State,North America,84,Consumer,Male,,26,John Mars,270,United State,North America,81,Consumer,Male,,27,Beate Heister & Karl Albrecht Jr.,298,Germany,Europe,66,Consumer,,,27,David Thomson & family,325,Canada,North America,61,Communication Services,Male,,27,Fran?ois Pinault & family,270,France,Europe,83,Consumer,Male,,27,Charles Koch,464,United State,North America,85,Financials,Male,,27,Phil Knight & family,473,United State,North America,84,Consumer,Male,,27,Dieter Schwarz,429,Germany,Europe,83,Consumer,Male
27,"Dell, Michael",105,United State,North America,36,Information Technology,,26,"Mars, John F",90,United State,North America,70,Consumer,,28,LiKa-shing,78,China,Asia,74,Real Estate,,27,Jacqueline Mars,104,United State,North America,65,Consumer,,27,Anne Cox Chambers,117,United State,North America,85,Communication Services,,28,Abigail Johnson,125,United State,North America,44,Financials,,26,Alice Walton,166,United State,North America,57,Information Technology,,26,S Robson Walton,192,United State,North America,64,Consumer,,26,Larry Page,120,United State,North America,36,Information Technology,,28,Michele Ferrero & family,170,Italy,Europe,83,Real Estate,Male,,28,Lee Shau Kee,190,China,Asia,83,Real Estate,Male,,28,Alisher Usmanov,181,Russia,Europe,58,Energy,Male,,26,Thomas & Raymond Kwok & family,200,China,Asia,-,Financials,Male,,28,Lui Che Woo,220,China,Asia,84,Real Estate,Male,,28,Stefan Persson,245,Sweden,Europe,67,Consumer,Male,,27,Jacqueline Mars,234,United State,North America,76,Consumer,Female,,28,Phil Knight,262,United State,North America,79,Consumer,Male,,28,Phil Knight,296,United State,North America,80,Consumer,Male,,28,Li Ka-shing,317,Hong Kong,Asia,90,Financials,Male,,28,Sheldon Adelson,268,United State,North America,86,Consumer,Male,,27,Julia Koch & family,464,United State,North America,58,Financials,Female,,28,Dieter Schwarz,471,Germany,Europe,82,Consumer,Male,,28,Fran閼剧郸is Pinault & family,401,France,Europe,86,Consumer,Male
